Country;Value;Continent
 Canada;653;North America
 United States;7Ê713;North America
 Brazil;364;Central & South America
 Chile;195;Central & South America
 Cuba;138;Central & South America
 Netherland Antilles;200;Central & South America
 Puerto Rico;90;Central & South America
 Trinidad & Tobago;39;Central & South America
 Others Latin America;1Ê580;Central & South America
 Bulgaria;113;Estern Europe
 Former Czech Republic;132;Estern Europe
 Romania;109;Estern Europe
 Lithuania;189;Estern Europe
 Others Eastern Europe;822;Estern Europe
 Belgium;558;Western Europe
 France;1Ê110;Western Europe
 Germany;1Ê825;Western Europe
 Greece;392;Western Europe
 Italy;1Ê179;Western Europe
 Netherlands;952;Western Europe
 Spain;1Ê168;Western Europe
 Sweden;339;Western Europe
 Turkey;375;Western Europe
 United Kingdom;1Ê011;Western Europe
 Others Western Europe;977;Western Europe
 Bahrain;219;Middle East
 Others Middle East;133;Middle East
 C™te d'Ivoire;73;Africa
 Kenya;39;Africa
 Morocco;105;Africa
 Others Africa;629;Africa
 Australia;451;Asia Pacific & Oceania
 China;5Ê658;Asia Pacific & Oceania
 India;3Ê782;Asia Pacific & Oceania
 Indonesia;291;Asia Pacific & Oceania
 Japan;3Ê408;Asia Pacific & Oceania
 New Zealand;100;Asia Pacific & Oceania
 Philippines;152;Asia Pacific & Oceania
 Singapore;784;Asia Pacific & Oceania
 South Korea;2Ê450;Asia Pacific & Oceania
 Thailand;868;Asia Pacific & Oceania
 Others Asia Pacific;1Ê394;Asia Pacific & Oceania